chapter,topic,script,flags,input,notes
genetics,topic06,YMCS,,mitosis_and_meiosis.yml,
genetics,topic06,YMMS,,meiosis_prophase_1.yml,
genetics,topic06,YMMS,,meiosis_terms.yml,
genetics,topic06,YMMS,,sex_determination.yml,
genetics,topic06,YMATCH,,meiosis_prophase_1.yml,
genetics,topic06,YMATCH,,meiosis_terms.yml,
genetics,topic06,YMATCH,,sex_determination.yml,
genetics,topic06,,,,script not found
genetics,topic06,,,,script not found
genetics,topic07,{bp_root}/inheritance-problems/chisquare/chi_square_choices.py,,,
genetics,topic07,{bp_root}/inheritance-problems/chisquare/chi_square_errors.py,,,
genetics,topic07,YMCS,,chi-square.yml,
genetics,topic07,YMMS,,chi-square_terms.yml,
genetics,topic07,YMATCH,,chi-square_terms.yml,
genetics,topic08,{bp_root}/inheritance-problems/genemapping/tetrad_ordered-centromere_distance.py,--mc,,
genetics,topic08,{bp_root}/inheritance-problems/genemapping/tetrad_unordered_three_gene-find_one_distance.py,--mc,,
genetics,topic08,{bp_root}/inheritance-problems/genemapping/tetrad_unordered_two_gene-find_distance.py,--mc,,
genetics,topic08,{bp_root}/inheritance-problems/genemapping/tetrad_unordered_two_gene-test_linkage.py,,,
genetics,topic08,{bp_root}/inheritance-problems/genemapping/three-point_test_cross-find_interence.py,--mc,,
genetics,topic08,{bp_root}/inheritance-problems/genemapping/three-point_test_cross-one_gene_distance.py,--mc,,
genetics,topic08,{bp_root}/inheritance-problems/genemapping/three-point_test_cross-which_genotypes.py,--double,,
genetics,topic08,{bp_root}/inheritance-problems/genemapping/three-point_test_cross-which_genotypes.py,--genes,,
genetics,topic08,{bp_root}/inheritance-problems/genemapping/three-point_test_cross-which_genotypes.py,--parental,,
genetics,topic08,{bp_root}/inheritance-problems/genemapping/two-point_test_cross-cis-trans.py,,,
genetics,topic08,{bp_root}/inheritance-problems/genemapping/two-point_test_cross-distance.py,--mc,,
genetics,topic08,{bp_root}/inheritance-problems/genemapping/two-point_test_cross-which_genotypes.py,--parental,,
genetics,topic08,{bp_root}/inheritance-problems/genemapping/two-point_test_cross-which_genotypes.py,--recombinant,,
genetics,topic09,{bp_root}/inheritance-problems/cytogenetic_notation-aneuploidy.py,,,
genetics,topic09,{bp_root}/inheritance-problems/cytogenetic_notation-rearrangements.py,,,
genetics,topic09,{bp_root}/inheritance-problems/letter_translocation_problem_color.py,--bw,,
genetics,topic09,{bp_root}/inheritance-problems/letter_translocation_problem_color.py,,,
genetics,topic09,{bp_root}/inheritance-problems/polyploid-gametes.py,,,
genetics,topic09,{bp_root}/inheritance-problems/polyploid-monoploid_v_haploid.py,,,
genetics,topic09,{bp_root}/inheritance-problems/robertsonian.py,,,
genetics,topic09,{bp_root}/inheritance-problems/translocation_meiosis_table.py,,,
genetics,topic09,YMMS,,chromosome_shapes.yml,
genetics,topic09,YMATCH,,chromosome_shapes.yml,
genetics,topic09,,,,script not found
genetics,topic09,,,,script not found
genetics,topic09,,,,script not found
genetics,topic09,,,,script not found
genetics,topic09,,,,script not found
genetics,topic10,{bp_root}/inheritance-problems/hardy_weinberg_mc_type.py,,,
genetics,topic10,YMCS,,h-w_non-evolve_criteria.yml,
genetics,topic11,{bp_root}/inheritance-problems/genetrees/gene_tree_choice_plus.py,--level 1,,
genetics,topic11,{bp_root}/inheritance-problems/genetrees/gene_tree_choice_plus.py,--level 2,,
genetics,topic11,{bp_root}/inheritance-problems/genetrees/gene_tree_choice_plus.py,--level 3,,
genetics,topic11,{bp_root}/inheritance-problems/genetrees/gene_tree_choice_plus.py,--level 4,,
genetics,topic11,{bp_root}/inheritance-problems/genetrees/gene_tree_choice_plus.py,--level 5,,
genetics,topic11,{bp_root}/inheritance-problems/genetrees/gene_tree_matches_plus.py,--different --easy,,
genetics,topic11,{bp_root}/inheritance-problems/genetrees/gene_tree_matches_plus.py,--different --medium,,
genetics,topic11,{bp_root}/inheritance-problems/genetrees/gene_tree_matches_plus.py,--different --rigorous,,
genetics,topic11,{bp_root}/inheritance-problems/genetrees/gene_tree_matches_plus.py,--same --easy,,
genetics,topic11,{bp_root}/inheritance-problems/genetrees/gene_tree_matches_plus.py,--same --medium,,
genetics,topic11,{bp_root}/inheritance-problems/genetrees/gene_tree_matches_plus.py,--same --rigorous,,
molecular_biology,topic01,{bp_root}/molecular_biology-problems/beadle_tatum-metabolic_pathway.py,,,
