MC	<p>2115_8e62</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> are the basic structural and functional units of <strong><span style="color: OrangeRed;">life</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are produced from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Eukaryotic <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> are complex.	Correct
MC	<p>2115_c0ba</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	<strong><span style="color: MediumBlue;">Cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	All living <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> require oxygen in order to survive.	Correct	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect
MC	<p>2115_d2d3</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	All <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> contain a nucleus.	Correct	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All known <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>2115_834d</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All living <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> require water for survival.	Correct	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>2115_5d82</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	The basic unit of <strong><span style="color: OrangeRed;">life</span></strong> is a<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> arise from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Cells</span></strong></span></strong> are of similar shapes and sizes.	Correct	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect
MC	<p>2115_dcb5</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: MediumBlue;">cells</span></strong> arise from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	Eukaryotic <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> are complex.	Correct	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The basic units of structure and function are <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>2115_2405</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: MediumBlue;">cells</span></strong> are produced from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The basic units of structure and function are <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Cells</span></strong></span></strong> are of similar shapes and sizes.	Correct	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect
MC	<p>2115_0adc</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	The basic units of structure and function are <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are produced from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Bacteria are prokaryotic <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong>.	Correct	<strong><span style="color: MediumBlue;">Cells</span></strong> are the basic building blocks of all <strong><span style="color: OrangeRed;">living things</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect
MC	<p>2115_b6ed</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;">living organisms</span></strong> are composed of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are produced from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The basic units of structure and function are <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Bacteria are prokaryotic <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong>.	Correct
MC	<p>2115_79d1</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are produced from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">living organisms</span></strong> are composed of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	All living <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> require water for survival.	Correct
MC	<p>2115_da36</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	Eukaryotic <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> are complex.	Correct	The basic unit of <strong><span style="color: OrangeRed;">life</span></strong> is a<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect
MC	<p>2115_4627</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;">living things</span></strong> are composed of <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The <strong><span style="color: MediumBlue;">organ</span> </strong>is the basic unit of structure and organization in organisms.	Correct	All <strong><span style="color: OrangeRed;">life</span></strong> functions occur within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>2115_f1b6</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All living <strong><span style="color: MediumBlue;">cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong> by division.	Incorrect	All <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">living things</span></strong></span></strong> are only composed of <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> and nothing else.	Correct	All known <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the basic unit of structure and organization in organisms.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> contain genetic information or DNA.	Incorrect
MC	<p>2115_642c</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;">living things</span></strong> are composed of <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All living <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> require water for survival.	Correct
MC	<p>2115_71f8</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;">living organisms</span></strong> are composed of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Organs</span></strong></span></strong> are the basic unit of structure and function in all <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">living things</span></strong></span></strong>.	Correct	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The basic units of structure and function are <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect
MC	<p>2115_10fb</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> contain membrane-bound organelles.	Correct	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> arise from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> are the basic unit of structure and function in all <strong><span style="color: OrangeRed;">living things</span></strong>.	Incorrect
MC	<p>2115_c769</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	The basic units of structure and function are <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">living organisms</span></strong> are composed of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All living <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> require water for survival.	Correct	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>2115_8a15</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;">living organisms</span></strong> are composed of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> contain a nucleus.	Correct	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are basically the same in chemical composition.	Incorrect	The basic unit of <strong><span style="color: OrangeRed;">life</span></strong> is a<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect
MC	<p>2115_f921</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Cells</span></strong></span></strong> form through spontaneous generation.	Correct	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> come from other living <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">living things</span></strong> are made up of one or more <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the smallest living thing that performs all the functions of <strong><span style="color: OrangeRed;">life</span></strong>.	Incorrect
MC	<p>2115_865c</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: OrangeRed;">living things</span></strong> are composed of <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Organs</span></strong></span></strong> are the basic unit of structure and function in all <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">living things</span></strong></span></strong>.	Correct	<strong><span style="color: MediumBlue;">Cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;">Cells</span></strong> share similar chemical composition.	Incorrect	The basic units of structure and function are <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>2115_827f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	The basic units of structure and function are <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All living <strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">cells</span></strong></span></strong> must have a<strong> <span style="color: MediumBlue;">cell</span></strong> wall.	Correct	All <strong><span style="color: OrangeRed;">living things</span></strong> are composed of <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
MC	<p>2115_5e0f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: MediumBlue;">cells</span></strong> are produced from other <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	All <strong><span style="color: OrangeRed;">living things</span></strong> are composed of <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	<strong><span style="color: MediumBlue;"><strong><span style="color: MediumBlue;">Organs</span></strong></span></strong> are the basic structural and functional units of <strong><span style="color: OrangeRed;"><strong><span style="color: OrangeRed;">life</span></strong></span></strong>.	Correct
MC	<p>2115_3947</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #793AAA;">cell&nbsp;theory</span></strong>?</p>	All <strong><span style="color: MediumBlue;">cells</span></strong> arise from pre-existing <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect	Heredity information (DNA) is passed on from<strong> <span style="color: MediumBlue;">cell</span></strong> to<strong> <span style="color: MediumBlue;">cell</span></strong>.	Incorrect	The<strong> <span style="color: MediumBlue;">cell</span></strong> is the smallest living thing that performs all the functions of <strong><span style="color: OrangeRed;">life</span></strong>.	Incorrect	Humans are multicellular.	Correct	Energy flow (metabolism and biochemistry) occurs within <strong><span style="color: MediumBlue;">cells</span></strong>.	Incorrect
