MC	<p>720c_ed57</p> <div id="drv_b827" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based on<span style='font-size: 1px; color: white;'>scores</span>their<span style='font-size: 1px; color: white;'>idea</span>molecular<span style='font-size: 1px; color: white;'>donors</span>formula, which one of<span style='font-size: 1px; color: white;'>bfsex</span>the<span style='font-size: 1px; color: white;'>both</span>following<span style='font-size: 1px; color: white;'>keto</span>compounds<span style='font-size: 1px; color: white;'>lower</span>is most likely<span style='font-size: 1px; color: white;'>ratio</span>hydrophobic?</h4><span style='font-size: 1px; color: white;'>clamp</span></div>	<div id="drv_9d4a" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. erythrose, C<sub>4</sub>H<sub>8</sub>O<sub>4</sub><span style='font-size: 1px; color: white;'>unlike</span></div>	Incorrect	<div id="drv_11b7" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. urea, CO(NH<sub>2</sub>)<sub>2</sub><span style='font-size: 1px; color: white;'>bad</span></div>	Incorrect	<div id="drv_e7c0" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. octane, CH<sub>3</sub>(CH<sub>2</sub>)<sub>6</sub>CH<sub>3</sub><span style='font-size: 1px; color: white;'>iiei</span></div>	Correct	<div id="drv_138c" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. methanol, CH<sub>3</sub>OH<span style='font-size: 1px; color: white;'>reduce</span></div>	Incorrect	<div id="drv_13a4" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. acetate, C<sub>2</sub>H<sub>3</sub>O<sub>2</sub><span style='font-size: 1px; color: white;'>depend</span></div>	Incorrect
MC	<p>720c_2cb4</p> <div id="drv_e177" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based on<span style='font-size: 1px; color: white;'>native</span>their<span style='font-size: 1px; color: white;'>odor</span>molecular<span style='font-size: 1px; color: white;'>fungus</span>formula, which<span style='font-size: 1px; color: white;'>codons</span>one<span style='font-size: 1px; color: white;'>hydrid</span>of<span style='font-size: 1px; color: white;'>kill</span>the<span style='font-size: 1px; color: white;'>cut</span>following<span style='font-size: 1px; color: white;'>topic</span>compounds<span style='font-size: 1px; color: white;'>truthm</span>is<span style='font-size: 1px; color: white;'>falsef</span>most<span style='font-size: 1px; color: white;'>tipoff</span>likely<span style='font-size: 1px; color: white;'>truthk</span>hydrophobic?</h4> </div>	<div id="drv_b5ea" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. glycerol, C<sub>3</sub>H<sub>8</sub>O<sub>3</sub><span style='font-size: 1px; color: white;'>female</span></div>	Incorrect	<div id="drv_ece6" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. ammonia, NH<sub>3</sub><span style='font-size: 1px; color: white;'>rotor</span></div>	Incorrect	<div id="drv_2125" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. phosphoric acid, H<sub>3</sub>PO<sub>4</sub><span style='font-size: 1px; color: white;'>ring</span></div>	Incorrect	<div id="drv_2c4d" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. butane, CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>CH<sub>3</sub> </div>	Correct	<div id="drv_8964" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. ethanol, CH<sub>3</sub>CH<sub>2</sub>OH<span style='font-size: 1px; color: white;'>rpc</span></div>	Incorrect
MC	<p>720c_d4b8</p> <div id="drv_83ad" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based on<span style='font-size: 1px; color: white;'>type</span>their<span style='font-size: 1px; color: white;'>biotin</span>molecular<span style='font-size: 1px; color: white;'>stuck</span>formula, which<span style='font-size: 1px; color: white;'>wagr</span>one of the<span style='font-size: 1px; color: white;'>than</span>following<span style='font-size: 1px; color: white;'>george</span>compounds<span style='font-size: 1px; color: white;'>wet</span>is<span style='font-size: 1px; color: white;'>anemia</span>most<span style='font-size: 1px; color: white;'>tandem</span>likely<span style='font-size: 1px; color: white;'>find</span>hydrophobic?</h4><span style='font-size: 1px; color: white;'>needed</span></div>	<div id="drv_8cb8" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. erythrose, C<sub>4</sub>H<sub>8</sub>O<sub>4</sub><span style='font-size: 1px; color: white;'>discs</span></div>	Incorrect	<div id="drv_4ec4" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. methanol, CH<sub>3</sub>OH<span style='font-size: 1px; color: white;'>krebs</span></div>	Incorrect	<div id="drv_a6b2" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. ammonia, NH<sub>3</sub><span style='font-size: 1px; color: white;'>uses</span></div>	Incorrect	<div id="drv_fe85" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. hexane, CH<sub>3</sub>(CH<sub>2</sub>)<sub>4</sub>CH<sub>3</sub> </div>	Correct	<div id="drv_7723" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. glycine, NH<sub>2</sub>CH<sub>2</sub>COOH<span style='font-size: 1px; color: white;'>active</span></div>	Incorrect
MC	<p>720c_1dfb</p> <div id="drv_520a" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based<span style='font-size: 1px; color: white;'>pka</span>on<span style='font-size: 1px; color: white;'>pain</span>their<span style='font-size: 1px; color: white;'>tube</span>molecular<span style='font-size: 1px; color: white;'>civic</span>formula, which<span style='font-size: 1px; color: white;'>nature</span>one<span style='font-size: 1px; color: white;'>scores</span>of the<span style='font-size: 1px; color: white;'>joined</span>following<span style='font-size: 1px; color: white;'>tumor</span>compounds<span style='font-size: 1px; color: white;'>hdpe</span>is most likely hydrophobic?</h4> </div>	<div id="drv_fd93" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. ethylene, CH<sub>2</sub>CH<sub>2</sub><span style='font-size: 1px; color: white;'>weaker</span></div>	Correct	<div id="drv_6baa" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. ethanol, CH<sub>3</sub>CH<sub>2</sub>OH </div>	Incorrect	<div id="drv_bf2a" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. ammonia, NH<sub>3</sub><span style='font-size: 1px; color: white;'>kidney</span></div>	Incorrect	<div id="drv_a59f" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. methanol, CH<sub>3</sub>OH<span style='font-size: 1px; color: white;'>units</span></div>	Incorrect	<div id="drv_d8c8" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. glucose, C<sub>6</sub>H<sub>12</sub>O<sub>6</sub><span style='font-size: 1px; color: white;'>sex</span></div>	Incorrect
MC	<p>720c_bd79</p> <div id="drv_3e67" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based<span style='font-size: 1px; color: white;'>talens</span>on their<span style='font-size: 1px; color: white;'>combat</span>molecular<span style='font-size: 1px; color: white;'>eectwo</span>formula, which<span style='font-size: 1px; color: white;'>phage</span>one<span style='font-size: 1px; color: white;'>random</span>of<span style='font-size: 1px; color: white;'>bcell</span>the<span style='font-size: 1px; color: white;'>truthe</span>following<span style='font-size: 1px; color: white;'>point</span>compounds<span style='font-size: 1px; color: white;'>truthc</span>is most<span style='font-size: 1px; color: white;'>behind</span>likely hydrophobic?</h4><span style='font-size: 1px; color: white;'>aches</span></div>	<div id="drv_44a4" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. water, H<sub>2</sub>O </div>	Incorrect	<div id="drv_9c6f" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. glycerol, C<sub>3</sub>H<sub>8</sub>O<sub>3</sub><span style='font-size: 1px; color: white;'>nonetd</span></div>	Incorrect	<div id="drv_61f9" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. ammonia, NH<sub>3</sub><span style='font-size: 1px; color: white;'>rarr</span></div>	Incorrect	<div id="drv_16bf" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. benzene, C<sub>6</sub>H<sub>6</sub><span style='font-size: 1px; color: white;'>daily</span></div>	Correct	<div id="drv_999e" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. glucose, C<sub>6</sub>H<sub>12</sub>O<sub>6</sub><span style='font-size: 1px; color: white;'>does</span></div>	Incorrect
MC	<p>720c_40ee</p> <div id="drv_4b02" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based on<span style='font-size: 1px; color: white;'>capric</span>their<span style='font-size: 1px; color: white;'>exons</span>molecular<span style='font-size: 1px; color: white;'>even</span>formula, which one<span style='font-size: 1px; color: white;'>high</span>of the<span style='font-size: 1px; color: white;'>thus</span>following compounds<span style='font-size: 1px; color: white;'>spinal</span>is most likely<span style='font-size: 1px; color: white;'>tandem</span>hydrophobic?</h4><span style='font-size: 1px; color: white;'>atoms</span></div>	<div id="drv_cccf" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. erythrose, C<sub>4</sub>H<sub>8</sub>O<sub>4</sub><span style='font-size: 1px; color: white;'>living</span></div>	Incorrect	<div id="drv_897f" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. glycerol, C<sub>3</sub>H<sub>8</sub>O<sub>3</sub><span style='font-size: 1px; color: white;'>list</span></div>	Incorrect	<div id="drv_b911" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. ethanol, CH<sub>3</sub>CH<sub>2</sub>OH<span style='font-size: 1px; color: white;'>smash</span></div>	Incorrect	<div id="drv_0674" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. toluene, C<sub>7</sub>H<sub>8</sub><span style='font-size: 1px; color: white;'>joint</span></div>	Correct	<div id="drv_0d5f" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. glucose, C<sub>6</sub>H<sub>12</sub>O<sub>6</sub><span style='font-size: 1px; color: white;'>keep</span></div>	Incorrect
MC	<p>720c_a297</p> <div id="drv_9f4f" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based<span style='font-size: 1px; color: white;'>copper</span>on their<span style='font-size: 1px; color: white;'>care</span>molecular<span style='font-size: 1px; color: white;'>left</span>formula, which one<span style='font-size: 1px; color: white;'>bomb</span>of<span style='font-size: 1px; color: white;'>waste</span>the<span style='font-size: 1px; color: white;'>bake</span>following<span style='font-size: 1px; color: white;'>above</span>compounds<span style='font-size: 1px; color: white;'>ions</span>is most<span style='font-size: 1px; color: white;'>homo</span>likely<span style='font-size: 1px; color: white;'>ketose</span>hydrophobic?</h4> </div>	<div id="drv_db8b" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. erythrose, C<sub>4</sub>H<sub>8</sub>O<sub>4</sub><span style='font-size: 1px; color: white;'>sides</span></div>	Incorrect	<div id="drv_c3d8" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. octane, CH<sub>3</sub>(CH<sub>2</sub>)<sub>6</sub>CH<sub>3</sub> </div>	Correct	<div id="drv_bd21" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. glycine, NH<sub>2</sub>CH<sub>2</sub>COOH<span style='font-size: 1px; color: white;'>touch</span></div>	Incorrect	<div id="drv_a8c5" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. sodium<span style='font-size: 1px; color: white;'>leo</span>chloride, NaCl<span style='font-size: 1px; color: white;'>large</span></div>	Incorrect	<div id="drv_ca5f" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. water, H<sub>2</sub>O<span style='font-size: 1px; color: white;'>enzyme</span></div>	Incorrect
MC	<p>720c_e1a8</p> <div id="drv_91a3" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based<span style='font-size: 1px; color: white;'>smart</span>on their<span style='font-size: 1px; color: white;'>law</span>molecular formula, which<span style='font-size: 1px; color: white;'>stat</span>one of<span style='font-size: 1px; color: white;'>rtkzz</span>the following<span style='font-size: 1px; color: white;'>ovum</span>compounds<span style='font-size: 1px; color: white;'>corn</span>is<span style='font-size: 1px; color: white;'>final</span>most<span style='font-size: 1px; color: white;'>abi</span>likely hydrophobic?</h4> </div>	<div id="drv_61e2" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. toluene, C<sub>7</sub>H<sub>8</sub><span style='font-size: 1px; color: white;'>acetyl</span></div>	Correct	<div id="drv_f06d" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. ethanol, CH<sub>3</sub>CH<sub>2</sub>OH<span style='font-size: 1px; color: white;'>dimer</span></div>	Incorrect	<div id="drv_cf6a" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. sucrose, C<sub>12</sub>H<sub>22</sub>O<sub>11</sub><span style='font-size: 1px; color: white;'>cycler</span></div>	Incorrect	<div id="drv_a8e3" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. glucose, C<sub>6</sub>H<sub>12</sub>O<sub>6</sub> </div>	Incorrect	<div id="drv_f59a" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. methanol, CH<sub>3</sub>OH </div>	Incorrect
MC	<p>720c_3bba</p> <div id="drv_3546" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based<span style='font-size: 1px; color: white;'>fatty</span>on their<span style='font-size: 1px; color: white;'>leak</span>molecular<span style='font-size: 1px; color: white;'>manner</span>formula, which<span style='font-size: 1px; color: white;'>biotin</span>one of the<span style='font-size: 1px; color: white;'>glass</span>following<span style='font-size: 1px; color: white;'>navy</span>compounds is most<span style='font-size: 1px; color: white;'>porous</span>likely<span style='font-size: 1px; color: white;'>influx</span>hydrophobic?</h4><span style='font-size: 1px; color: white;'>raise</span></div>	<div id="drv_a851" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. erythrose, C<sub>4</sub>H<sub>8</sub>O<sub>4</sub><span style='font-size: 1px; color: white;'>atomic</span></div>	Incorrect	<div id="drv_f57c" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. glycine, NH<sub>2</sub>CH<sub>2</sub>COOH<span style='font-size: 1px; color: white;'>result</span></div>	Incorrect	<div id="drv_d16c" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. glycerol, C<sub>3</sub>H<sub>8</sub>O<sub>3</sub> </div>	Incorrect	<div id="drv_5ad8" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. toluene, C<sub>7</sub>H<sub>8</sub> </div>	Correct	<div id="drv_875c" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. urea, CO(NH<sub>2</sub>)<sub>2</sub><span style='font-size: 1px; color: white;'>gun</span></div>	Incorrect
MC	<p>720c_ddc8</p> <div id="drv_e2cc" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based<span style='font-size: 1px; color: white;'>sexes</span>on their<span style='font-size: 1px; color: white;'>gamete</span>molecular<span style='font-size: 1px; color: white;'>hill</span>formula, which one<span style='font-size: 1px; color: white;'>ovum</span>of<span style='font-size: 1px; color: white;'>female</span>the following<span style='font-size: 1px; color: white;'>solid</span>compounds<span style='font-size: 1px; color: white;'>chain</span>is<span style='font-size: 1px; color: white;'>forest</span>most<span style='font-size: 1px; color: white;'>limbs</span>likely<span style='font-size: 1px; color: white;'>candle</span>hydrophobic?</h4><span style='font-size: 1px; color: white;'>gel</span></div>	<div id="drv_e6ce" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. ethylene, CH<sub>2</sub>CH<sub>2</sub> </div>	Correct	<div id="drv_0475" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. methanol, CH<sub>3</sub>OH </div>	Incorrect	<div id="drv_3bd8" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. urea, CO(NH<sub>2</sub>)<sub>2</sub> </div>	Incorrect	<div id="drv_54bf" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. glycerol, C<sub>3</sub>H<sub>8</sub>O<sub>3</sub><span style='font-size: 1px; color: white;'>binds</span></div>	Incorrect	<div id="drv_5ae5" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. glucose, C<sub>6</sub>H<sub>12</sub>O<sub>6</sub><span style='font-size: 1px; color: white;'>packed</span></div>	Incorrect
MC	<p>720c_ba3a</p> <div id="drv_3649" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based<span style='font-size: 1px; color: white;'>thf</span>on<span style='font-size: 1px; color: white;'>organs</span>their<span style='font-size: 1px; color: white;'>square</span>molecular<span style='font-size: 1px; color: white;'>blend</span>formula, which<span style='font-size: 1px; color: white;'>bull</span>one of<span style='font-size: 1px; color: white;'>leonor</span>the<span style='font-size: 1px; color: white;'>terms</span>following compounds<span style='font-size: 1px; color: white;'>pitch</span>is most<span style='font-size: 1px; color: white;'>lac</span>likely<span style='font-size: 1px; color: white;'>face</span>hydrophobic?</h4><span style='font-size: 1px; color: white;'>arise</span></div>	<div id="drv_9c36" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. sodium<span style='font-size: 1px; color: white;'>triose</span>chloride, NaCl </div>	Incorrect	<div id="drv_cc91" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. ammonia, NH<sub>3</sub><span style='font-size: 1px; color: white;'>center</span></div>	Incorrect	<div id="drv_c5ae" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. water, H<sub>2</sub>O </div>	Incorrect	<div id="drv_6579" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. ethanol, CH<sub>3</sub>CH<sub>2</sub>OH<span style='font-size: 1px; color: white;'>colii</span></div>	Incorrect	<div id="drv_db6a" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. ethylene, CH<sub>2</sub>CH<sub>2</sub> </div>	Correct
MC	<p>720c_e42c</p> <div id="drv_9e48" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based on<span style='font-size: 1px; color: white;'>diet</span>their<span style='font-size: 1px; color: white;'>false</span>molecular<span style='font-size: 1px; color: white;'>decide</span>formula, which<span style='font-size: 1px; color: white;'>washer</span>one<span style='font-size: 1px; color: white;'>others</span>of<span style='font-size: 1px; color: white;'>tissue</span>the<span style='font-size: 1px; color: white;'>swims</span>following<span style='font-size: 1px; color: white;'>cycler</span>compounds<span style='font-size: 1px; color: white;'>water</span>is<span style='font-size: 1px; color: white;'>snap</span>most<span style='font-size: 1px; color: white;'>washer</span>likely<span style='font-size: 1px; color: white;'>dogma</span>hydrophobic?</h4><span style='font-size: 1px; color: white;'>sweat</span></div>	<div id="drv_775c" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. urea, CO(NH<sub>2</sub>)<sub>2</sub><span style='font-size: 1px; color: white;'>nonetd</span></div>	Incorrect	<div id="drv_f511" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. sodium<span style='font-size: 1px; color: white;'>trutha</span>chloride, NaCl </div>	Incorrect	<div id="drv_13b2" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. water, H<sub>2</sub>O </div>	Incorrect	<div id="drv_2419" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. glycerol, C<sub>3</sub>H<sub>8</sub>O<sub>3</sub> </div>	Incorrect	<div id="drv_1f1b" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. benzene, C<sub>6</sub>H<sub>6</sub> </div>	Correct
MC	<p>720c_bcad</p> <div id="drv_0483" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based<span style='font-size: 1px; color: white;'>adapt</span>on<span style='font-size: 1px; color: white;'>organ</span>their<span style='font-size: 1px; color: white;'>tyler</span>molecular formula, which<span style='font-size: 1px; color: white;'>whey</span>one<span style='font-size: 1px; color: white;'>plp</span>of<span style='font-size: 1px; color: white;'>truthb</span>the<span style='font-size: 1px; color: white;'>sued</span>following<span style='font-size: 1px; color: white;'>brick</span>compounds<span style='font-size: 1px; color: white;'>carry</span>is<span style='font-size: 1px; color: white;'>gtag</span>most<span style='font-size: 1px; color: white;'>polya</span>likely<span style='font-size: 1px; color: white;'>never</span>hydrophobic?</h4><span style='font-size: 1px; color: white;'>mask</span></div>	<div id="drv_06c9" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. methanol, CH<sub>3</sub>OH </div>	Incorrect	<div id="drv_d0d0" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. toluene, C<sub>7</sub>H<sub>8</sub><span style='font-size: 1px; color: white;'>error</span></div>	Correct	<div id="drv_2f17" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. ammonia, NH<sub>3</sub><span style='font-size: 1px; color: white;'>menten</span></div>	Incorrect	<div id="drv_5050" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. sodium<span style='font-size: 1px; color: white;'>shaft</span>chloride, NaCl<span style='font-size: 1px; color: white;'>wraps</span></div>	Incorrect	<div id="drv_d311" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. ethanol, CH<sub>3</sub>CH<sub>2</sub>OH<span style='font-size: 1px; color: white;'>bees</span></div>	Incorrect
MC	<p>720c_f14e</p> <div id="drv_ee07" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><h4>Based<span style='font-size: 1px; color: white;'>lime</span>on<span style='font-size: 1px; color: white;'>could</span>their<span style='font-size: 1px; color: white;'>laura</span>molecular<span style='font-size: 1px; color: white;'>though</span>formula, which<span style='font-size: 1px; color: white;'>large</span>one<span style='font-size: 1px; color: white;'>balm</span>of<span style='font-size: 1px; color: white;'>wrong</span>the<span style='font-size: 1px; color: white;'>along</span>following<span style='font-size: 1px; color: white;'>rows</span>compounds is<span style='font-size: 1px; color: white;'>feel</span>most<span style='font-size: 1px; color: white;'>sorts</span>likely<span style='font-size: 1px; color: white;'>effect</span>hydrophobic?</h4><span style='font-size: 1px; color: white;'>first</span></div>	<div id="drv_52ac" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. acetate, C<sub>2</sub>H<sub>3</sub>O<sub>2</sub><span style='font-size: 1px; color: white;'>true</span></div>	Incorrect	<div id="drv_3e87" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. water, H<sub>2</sub>O<span style='font-size: 1px; color: white;'>for</span></div>	Incorrect	<div id="drv_f218" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. glycine, NH<sub>2</sub>CH<sub>2</sub>COOH<span style='font-size: 1px; color: white;'>speed</span></div>	Incorrect	<div id="drv_92e8" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. glycerol, C<sub>3</sub>H<sub>8</sub>O<sub>3</sub><span style='font-size: 1px; color: white;'>viral</span></div>	Incorrect	<div id="drv_0d8c" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >E. toluene, C<sub>7</sub>H<sub>8</sub><span style='font-size: 1px; color: white;'>pain</span></div>	Correct
