MC	<p>0545_ee44</p> <div id="drv_c615" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which one<span style='font-size: 1px; color: white;'>kinds</span>of<span style='font-size: 1px; color: white;'>wall</span>the following<span style='font-size: 1px; color: white;'>smart</span>types of macromolecules correspond to the<span style='font-size: 1px; color: white;'>dental</span>macromolecule <span style='font-size: 1em;'><strong>'hemoglobin'</strong></span>.</p> </div>	<div id="drv_a73e" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong><span style='font-size: 1px; color: white;'>joined</span></div>	Incorrect	<div id="drv_da3d" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong><span style='font-size: 1px; color: white;'>design</span></div>	Incorrect	<div id="drv_2c98" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>dental</span>acids</span></strong><span style='font-size: 1px; color: white;'>allow</span></div>	Incorrect	<div id="drv_7c2d" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong><span style='font-size: 1px; color: white;'>turner</span></div>	Correct
MC	<p>575d_ee44</p> <div id="drv_81b5" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which<span style='font-size: 1px; color: white;'>ground</span>one<span style='font-size: 1px; color: white;'>unique</span>of<span style='font-size: 1px; color: white;'>lysis</span>the following<span style='font-size: 1px; color: white;'>sam</span>types<span style='font-size: 1px; color: white;'>blades</span>of<span style='font-size: 1px; color: white;'>them</span>macromolecules<span style='font-size: 1px; color: white;'>linear</span>correspond<span style='font-size: 1px; color: white;'>hdpe</span>to the<span style='font-size: 1px; color: white;'>least</span>macromolecule <span style='font-size: 1em;'><strong>'xanthan gum &ndash; polysaccharide<span style='font-size: 1px; color: white;'>key</span>used<span style='font-size: 1px; color: white;'>back</span>as a thickening agent<span style='font-size: 1px; color: white;'>since</span>in food'</strong></span>.</p> </div>	<div id="drv_045f" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong><span style='font-size: 1px; color: white;'>entire</span></div>	Correct	<div id="drv_8aa0" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong><span style='font-size: 1px; color: white;'>treats</span></div>	Incorrect	<div id="drv_1cf4" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>blend</span>acids</span></strong><span style='font-size: 1px; color: white;'>codons</span></div>	Incorrect	<div id="drv_96cc" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong><span style='font-size: 1px; color: white;'>every</span></div>	Incorrect
MC	<p>5b60_ee44</p> <div id="drv_4ab7" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which one<span style='font-size: 1px; color: white;'>wobble</span>of<span style='font-size: 1px; color: white;'>pair</span>the<span style='font-size: 1px; color: white;'>embryo</span>following<span style='font-size: 1px; color: white;'>aged</span>types of<span style='font-size: 1px; color: white;'>bid</span>macromolecules<span style='font-size: 1px; color: white;'>cut</span>correspond to the macromolecule <span style='font-size: 1em;'><strong>'maltose'</strong></span>.</p><span style='font-size: 1px; color: white;'>helps</span></div>	<div id="drv_1a04" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong><span style='font-size: 1px; color: white;'>happen</span></div>	Correct	<div id="drv_9105" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong><span style='font-size: 1px; color: white;'>stem</span></div>	Incorrect	<div id="drv_8eb6" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>links</span>acids</span></strong><span style='font-size: 1px; color: white;'>iispan</span></div>	Incorrect	<div id="drv_fe82" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong><span style='font-size: 1px; color: white;'>alerts</span></div>	Incorrect
MC	<p>5d23_ee44</p> <div id="drv_07b3" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which<span style='font-size: 1px; color: white;'>fdna</span>one<span style='font-size: 1px; color: white;'>damm</span>of the<span style='font-size: 1px; color: white;'>mgdl</span>following<span style='font-size: 1px; color: white;'>behind</span>types<span style='font-size: 1px; color: white;'>over</span>of<span style='font-size: 1px; color: white;'>brick</span>macromolecules correspond<span style='font-size: 1px; color: white;'>blaw</span>to the<span style='font-size: 1px; color: white;'>study</span>macromolecule <span style='font-size: 1em;'><strong>'leucine'</strong></span>.</p><span style='font-size: 1px; color: white;'>truthi</span></div>	<div id="drv_3c14" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong> </div>	Incorrect	<div id="drv_d699" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong> </div>	Incorrect	<div id="drv_28b6" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic acids</span></strong><span style='font-size: 1px; color: white;'>lgiczz</span></div>	Incorrect	<div id="drv_3d46" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong> </div>	Correct
MC	<p>61c8_ee44</p> <div id="drv_2a7b" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which<span style='font-size: 1px; color: white;'>thread</span>one<span style='font-size: 1px; color: white;'>coli</span>of<span style='font-size: 1px; color: white;'>spice</span>the<span style='font-size: 1px; color: white;'>pushed</span>following<span style='font-size: 1px; color: white;'>niagra</span>types<span style='font-size: 1px; color: white;'>last</span>of<span style='font-size: 1px; color: white;'>states</span>macromolecules correspond<span style='font-size: 1px; color: white;'>itself</span>to<span style='font-size: 1px; color: white;'>flower</span>the<span style='font-size: 1px; color: white;'>kinds</span>macromolecule <span style='font-size: 1em;'><strong>'polypeptides'</strong></span>.</p><span style='font-size: 1px; color: white;'>lived</span></div>	<div id="drv_e611" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong><span style='font-size: 1px; color: white;'>decide</span></div>	Incorrect	<div id="drv_11af" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong><span style='font-size: 1px; color: white;'>step</span></div>	Incorrect	<div id="drv_39d4" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>avp</span>acids</span></strong><span style='font-size: 1px; color: white;'>also</span></div>	Incorrect	<div id="drv_3fb6" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong><span style='font-size: 1px; color: white;'>book</span></div>	Correct
MC	<p>61c8_ee44</p> <div id="drv_cdab" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which one of<span style='font-size: 1px; color: white;'>strand</span>the<span style='font-size: 1px; color: white;'>cirtic</span>following<span style='font-size: 1px; color: white;'>indigo</span>types<span style='font-size: 1px; color: white;'>store</span>of<span style='font-size: 1px; color: white;'>third</span>macromolecules<span style='font-size: 1px; color: white;'>rare</span>correspond<span style='font-size: 1px; color: white;'>avp</span>to<span style='font-size: 1px; color: white;'>stats</span>the<span style='font-size: 1px; color: white;'>tumor</span>macromolecule <span style='font-size: 1em;'><strong>'polypeptides'</strong></span>.</p><span style='font-size: 1px; color: white;'>long</span></div>	<div id="drv_d34a" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong><span style='font-size: 1px; color: white;'>datp</span></div>	Incorrect	<div id="drv_5d26" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong> </div>	Incorrect	<div id="drv_2a8d" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>truthm</span>acids</span></strong><span style='font-size: 1px; color: white;'>whales</span></div>	Incorrect	<div id="drv_a3d6" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong> </div>	Correct
MC	<p>69da_ee44</p> <div id="drv_9b8e" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which<span style='font-size: 1px; color: white;'>falsec</span>one of<span style='font-size: 1px; color: white;'>file</span>the<span style='font-size: 1px; color: white;'>letter</span>following<span style='font-size: 1px; color: white;'>hand</span>types of macromolecules<span style='font-size: 1px; color: white;'>side</span>correspond<span style='font-size: 1px; color: white;'>uga</span>to<span style='font-size: 1px; color: white;'>pool</span>the macromolecule <span style='font-size: 1em;'><strong>'amylopectin<span style='font-size: 1px; color: white;'>elaw</span>starch'</strong></span>.</p><span style='font-size: 1px; color: white;'>hoover</span></div>	<div id="drv_361f" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong><span style='font-size: 1px; color: white;'>quite</span></div>	Correct	<div id="drv_798f" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong><span style='font-size: 1px; color: white;'>gtp</span></div>	Incorrect	<div id="drv_478d" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>shelf</span>acids</span></strong><span style='font-size: 1px; color: white;'>black</span></div>	Incorrect	<div id="drv_d278" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong><span style='font-size: 1px; color: white;'>mucus</span></div>	Incorrect
MC	<p>6db8_ee44</p> <div id="drv_1f8e" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which<span style='font-size: 1px; color: white;'>worse</span>one<span style='font-size: 1px; color: white;'>fine</span>of the following<span style='font-size: 1px; color: white;'>layer</span>types<span style='font-size: 1px; color: white;'>apart</span>of macromolecules<span style='font-size: 1px; color: white;'>copy</span>correspond<span style='font-size: 1px; color: white;'>subset</span>to<span style='font-size: 1px; color: white;'>copper</span>the macromolecule <span style='font-size: 1em;'><strong>'mannose'</strong></span>.</p><span style='font-size: 1px; color: white;'>chitin</span></div>	<div id="drv_49d5" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong> </div>	Correct	<div id="drv_4bdf" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong><span style='font-size: 1px; color: white;'>enol</span></div>	Incorrect	<div id="drv_cd7c" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>aug</span>acids</span></strong> </div>	Incorrect	<div id="drv_76d0" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong><span style='font-size: 1px; color: white;'>marfan</span></div>	Incorrect
MC	<p>6db8_ee44</p> <div id="drv_5177" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which one<span style='font-size: 1px; color: white;'>cutoff</span>of<span style='font-size: 1px; color: white;'>leonor</span>the following<span style='font-size: 1px; color: white;'>all</span>types<span style='font-size: 1px; color: white;'>rise</span>of macromolecules correspond<span style='font-size: 1px; color: white;'>eye</span>to<span style='font-size: 1px; color: white;'>pol</span>the macromolecule <span style='font-size: 1em;'><strong>'mannose'</strong></span>.</p><span style='font-size: 1px; color: white;'>civic</span></div>	<div id="drv_a9b1" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong><span style='font-size: 1px; color: white;'>cap</span></div>	Correct	<div id="drv_ac65" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong><span style='font-size: 1px; color: white;'>type</span></div>	Incorrect	<div id="drv_feb2" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>double</span>acids</span></strong> </div>	Incorrect	<div id="drv_0fee" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong><span style='font-size: 1px; color: white;'>corn</span></div>	Incorrect
MC	<p>6db8_ee44</p> <div id="drv_7762" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which<span style='font-size: 1px; color: white;'>lungs</span>one<span style='font-size: 1px; color: white;'>bnotb</span>of<span style='font-size: 1px; color: white;'>colii</span>the<span style='font-size: 1px; color: white;'>phage</span>following types of<span style='font-size: 1px; color: white;'>serve</span>macromolecules<span style='font-size: 1px; color: white;'>cyan</span>correspond to<span style='font-size: 1px; color: white;'>idea</span>the<span style='font-size: 1px; color: white;'>iron</span>macromolecule <span style='font-size: 1em;'><strong>'mannose'</strong></span>.</p><span style='font-size: 1px; color: white;'>linked</span></div>	<div id="drv_18f2" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong><span style='font-size: 1px; color: white;'>cold</span></div>	Correct	<div id="drv_3eac" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong><span style='font-size: 1px; color: white;'>pieces</span></div>	Incorrect	<div id="drv_e05f" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>abf</span>acids</span></strong><span style='font-size: 1px; color: white;'>turned</span></div>	Incorrect	<div id="drv_09b6" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong><span style='font-size: 1px; color: white;'>brna</span></div>	Incorrect
MC	<p>7872_ee44</p> <div id="drv_c33d" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which<span style='font-size: 1px; color: white;'>yellow</span>one<span style='font-size: 1px; color: white;'>pool</span>of<span style='font-size: 1px; color: white;'>mortar</span>the<span style='font-size: 1px; color: white;'>blood</span>following<span style='font-size: 1px; color: white;'>direct</span>types<span style='font-size: 1px; color: white;'>error</span>of macromolecules<span style='font-size: 1px; color: white;'>remedy</span>correspond<span style='font-size: 1px; color: white;'>grow</span>to<span style='font-size: 1px; color: white;'>where</span>the macromolecule <span style='font-size: 1em;'><strong>'ribose'</strong></span>.</p> </div>	<div id="drv_0bad" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong> </div>	Correct	<div id="drv_82cc" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong> </div>	Incorrect	<div id="drv_a8e9" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>being</span>acids</span></strong><span style='font-size: 1px; color: white;'>ketose</span></div>	Incorrect	<div id="drv_b48a" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong><span style='font-size: 1px; color: white;'>allows</span></div>	Incorrect
MC	<p>8350_ee44</p> <div id="drv_ace3" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which one<span style='font-size: 1px; color: white;'>hot</span>of<span style='font-size: 1px; color: white;'>river</span>the<span style='font-size: 1px; color: white;'>whales</span>following<span style='font-size: 1px; color: white;'>yellow</span>types<span style='font-size: 1px; color: white;'>father</span>of<span style='font-size: 1px; color: white;'>dimers</span>macromolecules<span style='font-size: 1px; color: white;'>tall</span>correspond<span style='font-size: 1px; color: white;'>count</span>to<span style='font-size: 1px; color: white;'>urine</span>the macromolecule <span style='font-size: 1em;'><strong>'glutamate'</strong></span>.</p> </div>	<div id="drv_0260" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong> </div>	Incorrect	<div id="drv_9a0d" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong> </div>	Incorrect	<div id="drv_ce55" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>once</span>acids</span></strong> </div>	Incorrect	<div id="drv_2aa3" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong> </div>	Correct
MC	<p>84d1_ee44</p> <div id="drv_a1e0" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which<span style='font-size: 1px; color: white;'>sorted</span>one<span style='font-size: 1px; color: white;'>switch</span>of<span style='font-size: 1px; color: white;'>hard</span>the<span style='font-size: 1px; color: white;'>allows</span>following types<span style='font-size: 1px; color: white;'>drug</span>of macromolecules<span style='font-size: 1px; color: white;'>abi</span>correspond to<span style='font-size: 1px; color: white;'>person</span>the macromolecule <span style='font-size: 1em;'><strong>'furanose'</strong></span>.</p><span style='font-size: 1px; color: white;'>coa</span></div>	<div id="drv_8608" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong><span style='font-size: 1px; color: white;'>model</span></div>	Correct	<div id="drv_2d93" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong><span style='font-size: 1px; color: white;'>frame</span></div>	Incorrect	<div id="drv_844d" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>trnas</span>acids</span></strong><span style='font-size: 1px; color: white;'>based</span></div>	Incorrect	<div id="drv_8ea6" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong><span style='font-size: 1px; color: white;'>donkey</span></div>	Incorrect
MC	<p>84d1_ee44</p> <div id="drv_fec8" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which<span style='font-size: 1px; color: white;'>there</span>one<span style='font-size: 1px; color: white;'>three</span>of the<span style='font-size: 1px; color: white;'>epspan</span>following<span style='font-size: 1px; color: white;'>domain</span>types<span style='font-size: 1px; color: white;'>rows</span>of<span style='font-size: 1px; color: white;'>cca</span>macromolecules correspond to the<span style='font-size: 1px; color: white;'>blaw</span>macromolecule <span style='font-size: 1em;'><strong>'furanose'</strong></span>.</p><span style='font-size: 1px; color: white;'>serine</span></div>	<div id="drv_1ad9" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong> </div>	Correct	<div id="drv_6fcc" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong> </div>	Incorrect	<div id="drv_7768" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic acids</span></strong><span style='font-size: 1px; color: white;'>him</span></div>	Incorrect	<div id="drv_857e" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong> </div>	Incorrect
MC	<p>8583_ee44</p> <div id="drv_88dd" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which<span style='font-size: 1px; color: white;'>hybrid</span>one<span style='font-size: 1px; color: white;'>bench</span>of the<span style='font-size: 1px; color: white;'>iii</span>following types of<span style='font-size: 1px; color: white;'>exy</span>macromolecules correspond<span style='font-size: 1px; color: white;'>two</span>to<span style='font-size: 1px; color: white;'>heavy</span>the macromolecule <span style='font-size: 1em;'><strong>'capric acid &ndash; a<span style='font-size: 1px; color: white;'>apple</span>fatty<span style='font-size: 1px; color: white;'>xenon</span>acid with 10 carbons'</strong></span>.</p><span style='font-size: 1px; color: white;'>purple</span></div>	<div id="drv_b44f" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong> </div>	Incorrect	<div id="drv_aaf7" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong><span style='font-size: 1px; color: white;'>can</span></div>	Correct	<div id="drv_d3cc" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>oxygen</span>acids</span></strong> </div>	Incorrect	<div id="drv_d7e3" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong><span style='font-size: 1px; color: white;'>sanger</span></div>	Incorrect
MC	<p>8583_ee44</p> <div id="drv_bd54" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" ><p>Which<span style='font-size: 1px; color: white;'>wraps</span>one<span style='font-size: 1px; color: white;'>edit</span>of<span style='font-size: 1px; color: white;'>gyrase</span>the<span style='font-size: 1px; color: white;'>street</span>following<span style='font-size: 1px; color: white;'>track</span>types<span style='font-size: 1px; color: white;'>treat</span>of<span style='font-size: 1px; color: white;'>remedy</span>macromolecules<span style='font-size: 1px; color: white;'>lines</span>correspond to the<span style='font-size: 1px; color: white;'>using</span>macromolecule <span style='font-size: 1em;'><strong>'capric acid &ndash; a fatty acid<span style='font-size: 1px; color: white;'>scalex</span>with 10 carbons'</strong></span>.</p> </div>	<div id="drv_1f32" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >A. <strong><span style="color: #0039e6;">carbohydrates</span></strong> </div>	Incorrect	<div id="drv_c69a" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >B. <strong><span style="color: #e65400;">lipids</span></strong><span style='font-size: 1px; color: white;'>mixed</span></div>	Correct	<div id="drv_d7ec" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >C. <strong><span style="color: #b30077;">nucleic<span style='font-size: 1px; color: white;'>truth</span>acids</span></strong><span style='font-size: 1px; color: white;'>begins</span></div>	Incorrect	<div id="drv_2c40" oncopy="return false;" onpaste="return false;" oncut="return false;" oncontextmenu="return false;" onmousedown="return false;" onselectstart="return false;" >D. <strong><span style="color: #009900;">proteins</span></strong> </div>	Incorrect
