MAT	<p>c07b_1b1c</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">gamete</span></strong>	a haploid reproductive cell having the half number of chromosomes	<strong><span style="color: #007a00;">heterozygous</span></strong>	different inherited versions of a gene from each biological parent	<strong><span style="color: #935d00;">genotype</span></strong>	genetic content of an organism that contributes to a specific <strong><span style="color: #b74300;">trait</span></strong>	<strong><span style="color: #007576;">phenotype</span></strong>	the complete set of <strong><span style="color: #003fff;">observable</span></strong> <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong> of an organism
MAT	<p>c07b_20a4</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">phenotype</span></strong>	all the <strong><span style="color: #003fff;">observable</span></strong> <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong> of an individual, such as height and eye color	<strong><span style="color: #935d00;">genotype</span></strong>	DNA composition affecting a certain <strong><span style="color: #007576;">phenotype</span></strong>	<strong><span style="color: #00775f;">dominant</span></strong>	describes a <strong><span style="color: #b74300;">trait</span></strong> that masks the expression of another <strong><span style="color: #b74300;">trait</span></strong> when both versions of the gene are present	<strong><span style="color: #3b7600;">gamete</span></strong>	reproductive cells with a single set of non-<strong><span style="color: #0067cc;">identical</span></strong> chromosomes
MAT	<p>c07b_0a9c</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">gamete</span></strong>	either a male sperm or female egg cell that forms a zygote upon fusion	<strong><span style="color: #b74300;">trait</span></strong>	each variant for a <strong><span style="color: #076dad;">character</span></strong>, such as purple or white color for flowers	<strong><span style="color: #007a00;">heterozygous</span></strong>	presence of two different gene copies	<strong><span style="color: #076dad;">character</span></strong>	a single feature that can be inherited and varies among organisms, like seed color
MAT	<p>c07b_754b</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #00775f;">dominant</span></strong>	if two copies of a gene are different, this <strong><span style="color: #6c6c00;">allele</span></strong> will be expressed	<strong><span style="color: #007576;">phenotype</span></strong>	Mendel referred to this as the <i>"external resemblance"</i> of an organism	<strong><span style="color: #3b7600;">gamete</span></strong>	reproductive cells with a single set of non-<strong><span style="color: #0067cc;">identical</span></strong> chromosomes	<strong><span style="color: #b74300;">trait</span></strong>	each variant for a <strong><span style="color: #076dad;">character</span></strong>, such as green or yellow color for seeds
MAT	<p>c07b_207c</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #935d00;">genotype</span></strong>	genetic content of an organism that contributes to a specific <strong><span style="color: #b74300;">trait</span></strong>	<strong><span style="color: #3b7600;">gamete</span></strong>	reproductive cells carrying only one copy of each chromosome in preparation for fertilization	<strong><span style="color: #007576;">phenotype</span></strong>	all <strong><span style="color: #003fff;">observable</span></strong> <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong> such as height or blood type in an individual	<strong><span style="color: #00775f;">dominant</span></strong>	describes a <strong><span style="color: #b74300;">trait</span></strong> that masks the expression of another <strong><span style="color: #b74300;">trait</span></strong> when the <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> for both <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong> are present
MAT	<p>c07b_27a3</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #b74300;">trait</span></strong>	green or yellow as specific forms of the seed color <strong><span style="color: #076dad;">character</span></strong>	<strong><span style="color: #a719db;">recessive</span></strong>	describes a <strong><span style="color: #b74300;">trait</span></strong> whose expression is masked by another <strong><span style="color: #b74300;">trait</span></strong> when the <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> for both <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong> are present	<strong><span style="color: #c80085;">homozygous</span></strong>	both gene copies are the same	<strong><span style="color: #3b7600;">gamete</span></strong>	reproductive cells with a single set of non-<strong><span style="color: #0067cc;">identical</span></strong> chromosomes
MAT	<p>c07b_18b1</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #c80085;">homozygous</span></strong>	two <strong><span style="color: #0067cc;">identical</span></strong> <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> of a given gene	<strong><span style="color: #3b7600;">gamete</span></strong>	haploid cells like sperm or egg that merge during fertilization	<strong><span style="color: #007a00;">heterozygous</span></strong>	when two copies of a gene are different	<strong><span style="color: #b74300;">trait</span></strong>	each variant for a <strong><span style="color: #076dad;">character</span></strong>, such as purple or white color for flowers
MAT	<p>c07b_354e</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #935d00;">genotype</span></strong>	the genetic constitution of an organism	<strong><span style="color: #076dad;">character</span></strong>	a single heritable feature that varies among individuals, such as seed shape	<strong><span style="color: #00775f;">dominant</span></strong>	describes a <strong><span style="color: #b74300;">trait</span></strong> that masks the expression of another <strong><span style="color: #b74300;">trait</span></strong> when the <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> for both <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong> are present	<strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong>	alternatives of a specific gene
MAT	<p>c07b_6df7</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong>	variations at one gene locus	<strong><span style="color: #3b7600;">gamete</span></strong>	either a male sperm or female egg cell that forms a zygote upon fusion	<strong><span style="color: #935d00;">genotype</span></strong>	the genetic constitution of an organism	<strong><span style="color: #a719db;">recessive</span></strong>	describes a <strong><span style="color: #b74300;">trait</span></strong> whose expression is masked by another <strong><span style="color: #b74300;">trait</span></strong> when both versions of the gene are present
MAT	<p>c07b_9aba</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">heterozygous</span></strong>	two different <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> for a gene	<strong><span style="color: #3b7600;">gamete</span></strong>	a haploid cell (e.g., sperm or egg) that fuses with another haploid cell during fertilization in organisms	<strong><span style="color: #c80085;">homozygous</span></strong>	the two copies of a gene are <strong><span style="color: #0067cc;">identical</span></strong>	<strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong>	alternative versions of DNA at a gene site
MAT	<p>c07b_afe4</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">heterozygous</span></strong>	when two copies of a gene are different	<strong><span style="color: #b74300;">trait</span></strong>	green or yellow as specific forms of the seed color <strong><span style="color: #076dad;">character</span></strong>	<strong><span style="color: #3b7600;">gamete</span></strong>	reproductive cells with a single set of non-<strong><span style="color: #0067cc;">identical</span></strong> chromosomes	<strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong>	different versions of the same gene, such as <strong>A</strong> or <strong>a</strong>
MAT	<p>c07b_a5cc</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #00775f;">dominant</span></strong>	describes a <strong><span style="color: #b74300;">trait</span></strong> that masks the expression of another <strong><span style="color: #b74300;">trait</span></strong> when both versions of the gene are present	<strong><span style="color: #3b7600;">gamete</span></strong>	haploid cells like sperm or egg that merge during fertilization	<strong><span style="color: #935d00;">genotype</span></strong>	combination of <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> that determines a specific <strong><span style="color: #b74300;">trait</span></strong>	<strong><span style="color: #b74300;">trait</span></strong>	each variant for a <strong><span style="color: #076dad;">character</span></strong>, such as green or yellow color for seeds
MAT	<p>c07b_2660</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">phenotype</span></strong>	all the <strong><span style="color: #003fff;">observable</span></strong> <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong> of an organism	<strong><span style="color: #076dad;">character</span></strong>	a single feature that can be inherited and varies among organisms, like seed color	<strong><span style="color: #a719db;">recessive</span></strong>	this <strong><span style="color: #6c6c00;">allele</span></strong> is hidden by another <strong><span style="color: #6c6c00;">allele</span></strong> when both <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> are present	<strong><span style="color: #3b7600;">gamete</span></strong>	either a male sperm or female egg cell that forms a zygote upon fusion
MAT	<p>c07b_d8f9</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #a719db;">recessive</span></strong>	describes a <strong><span style="color: #b74300;">trait</span></strong> whose expression is masked by another <strong><span style="color: #b74300;">trait</span></strong> when the <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> for both <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong> are present	<strong><span style="color: #935d00;">genotype</span></strong>	DNA composition affecting a certain <strong><span style="color: #007576;">phenotype</span></strong>	<strong><span style="color: #00775f;">dominant</span></strong>	masks another <strong><span style="color: #b74300;">trait</span></strong>'s expression when both <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> are present	<strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong>	variants of a gene, for example <strong>A</strong> or <strong>a</strong>
MAT	<p>c07b_e3e8</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong>	variants of a specific gene located at a locus	<strong><span style="color: #076dad;">character</span></strong>	a single feature that can be inherited and varies among organisms, like stem length	<strong><span style="color: #007576;">phenotype</span></strong>	all <strong><span style="color: #003fff;">observable</span></strong> <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong>, like eye color or blood type	<strong><span style="color: #935d00;">genotype</span></strong>	Mendel referred to this as the <i>"internal nature"</i> of an organism
MAT	<p>c07b_8980</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #a719db;">recessive</span></strong>	describes a <strong><span style="color: #b74300;">trait</span></strong> whose expression is masked by another <strong><span style="color: #b74300;">trait</span></strong> when both versions of the gene are present	<strong><span style="color: #076dad;">character</span></strong>	a single feature that can be inherited and varies among organisms, like flower position	<strong><span style="color: #007576;">phenotype</span></strong>	the manifestation of DNA as all <strong><span style="color: #003fff;">observable</span></strong> <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong>	<strong><span style="color: #007a00;">heterozygous</span></strong>	presence of two different gene copies
MAT	<p>c07b_581d</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #b74300;">trait</span></strong>	each variant for a <strong><span style="color: #076dad;">character</span></strong>, such as green or yellow color for seeds	<strong><span style="color: #00775f;">dominant</span></strong>	an <strong><span style="color: #6c6c00;">allele</span></strong> that masks another <strong><span style="color: #6c6c00;">allele</span></strong> in the presence of both <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong>	<strong><span style="color: #007a00;">heterozygous</span></strong>	two different <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> of a given gene	<strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong>	alternative DNA sequences at a locus
MAT	<p>c07b_ab9e</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">phenotype</span></strong>	all <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong> that can all be observed in an organism	<strong><span style="color: #3b7600;">gamete</span></strong>	a general term for either male (sperm) or female (egg) germ cells, which unite to form the zygote	<strong><span style="color: #b74300;">trait</span></strong>	green or yellow as specific forms of the seed color <strong><span style="color: #076dad;">character</span></strong>	<strong><span style="color: #935d00;">genotype</span></strong>	genetic content of an organism that contributes to a specific <strong><span style="color: #b74300;">trait</span></strong>
MAT	<p>c07b_c1bb</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong>	alternative forms of a specific gene	<strong><span style="color: #3b7600;">gamete</span></strong>	a haploid reproductive cell having the half number of chromosomes	<strong><span style="color: #007a00;">heterozygous</span></strong>	possession of a pair of differing <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong>	<strong><span style="color: #007576;">phenotype</span></strong>	all <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong> that can all be observed in an organism
MAT	<p>c07b_dc90</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #3b7600;">gamete</span></strong>	either a male sperm or female egg cell that forms a zygote upon fusion	<strong><span style="color: #c80085;">homozygous</span></strong>	<strong><span style="color: #0067cc;">identical</span></strong> inherited versions of a gene from each biological parent	<strong><span style="color: #007576;">phenotype</span></strong>	all the <strong><span style="color: #003fff;">observable</span></strong> <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong> of an organism	<strong><span style="color: #935d00;">genotype</span></strong>	combination of <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> that determines a specific <strong><span style="color: #b74300;">trait</span></strong>
MAT	<p>c07b_275d</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">heterozygous</span></strong>	two unalike <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> for a particular gene	<strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong>	different versions of the same gene, such as <strong>A</strong> or <strong>a</strong>	<strong><span style="color: #b74300;">trait</span></strong>	a single variation in an inherited <strong><span style="color: #076dad;">character</span></strong>	<strong><span style="color: #935d00;">genotype</span></strong>	<strong><span style="color: #6c6c00;">allele</span></strong> combinations that specify a <strong><span style="color: #b74300;">trait</span></strong>
MAT	<p>c07b_3e03</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong>	one version among multiple DNA sequences at a locus	<strong><span style="color: #b74300;">trait</span></strong>	a specific form of a heritable feature, like purple color in flowers	<strong><span style="color: #3b7600;">gamete</span></strong>	a reproductive cell with half the chromosome number	<strong><span style="color: #00775f;">dominant</span></strong>	describes a <strong><span style="color: #b74300;">trait</span></strong> that masks the expression of another <strong><span style="color: #b74300;">trait</span></strong> when both versions of the gene are present
MAT	<p>c07b_7970</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">phenotype</span></strong>	all <strong><span style="color: #003fff;">observable</span></strong> <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong>, like eye color or blood type	<strong><span style="color: #076dad;">character</span></strong>	a single heritable feature that varies among individuals, such as flower position	<strong><span style="color: #b74300;">trait</span></strong>	a distinct variant of a <strong><span style="color: #076dad;">character</span></strong> of an organism, such as short or long stems in flowers	<strong><span style="color: #007a00;">heterozygous</span></strong>	two unalike <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> for a particular gene
MAT	<p>c07b_eae6</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">character</span></strong>	a single feature, such as hair color, noticeable in a particular organismal group	<strong><span style="color: #007576;">phenotype</span></strong>	all <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong> that can all be observed in an organism	<strong><span style="color: #b74300;">trait</span></strong>	a distinct variant of a <strong><span style="color: #076dad;">character</span></strong> of an organism, such as short or long stems in flowers	<strong><span style="color: #00775f;">dominant</span></strong>	masks another <strong><span style="color: #b74300;">trait</span></strong>'s expression when both <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> are present
MAT	<p>c07b_2047</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #935d00;">genotype</span></strong>	<strong><span style="color: #6c6c00;">allele</span></strong> combinations that specify a <strong><span style="color: #b74300;">trait</span></strong>	<strong><span style="color: #007a00;">heterozygous</span></strong>	different inherited versions of a gene from each biological parent	<strong><span style="color: #007576;">phenotype</span></strong>	all the <strong><span style="color: #003fff;">observable</span></strong> <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong> of an individual, such as height and blood type	<strong><span style="color: #c80085;">homozygous</span></strong>	<strong><span style="color: #0067cc;">identical</span></strong> <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> at one or more corresponding chromosomal loci
MAT	<p>c07b_2330</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">character</span></strong>	one <strong><span style="color: #003fff;">observable</span></strong> feature category of a group of organisms, such as flower color	<strong><span style="color: #935d00;">genotype</span></strong>	genetic content of an organism that contributes to a specific <strong><span style="color: #b74300;">trait</span></strong>	<strong><span style="color: #3b7600;">gamete</span></strong>	reproductive cells with a single set of non-<strong><span style="color: #0067cc;">identical</span></strong> chromosomes	<strong><span style="color: #007576;">phenotype</span></strong>	all the physical <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong> of an organism
MAT	<p>c07b_79e7</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">heterozygous</span></strong>	two unalike <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> for a particular gene	<strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong>	different gene forms at the same chromosomal location	<strong><span style="color: #a719db;">recessive</span></strong>	this <strong><span style="color: #6c6c00;">allele</span></strong> is hidden by another <strong><span style="color: #6c6c00;">allele</span></strong> when both <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> are present	<strong><span style="color: #c80085;">homozygous</span></strong>	<strong><span style="color: #0067cc;">identical</span></strong> inherited versions of a gene from each biological parent
MAT	<p>c07b_241a</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007576;">phenotype</span></strong>	all <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong> that can all be observed in an organism	<strong><span style="color: #b74300;">trait</span></strong>	specific expression of a <strong><span style="color: #076dad;">character</span></strong>, such as short or long stem lengths in plants	<strong><span style="color: #935d00;">genotype</span></strong>	combination of <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> that determines a specific <strong><span style="color: #b74300;">trait</span></strong>	<strong><span style="color: #a719db;">recessive</span></strong>	if two copies of a gene are different, this <strong><span style="color: #6c6c00;">allele</span></strong> will be masked
MAT	<p>c07b_d450</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #076dad;">character</span></strong>	a single feature that can be inherited and varies among organisms, like eye color	<strong><span style="color: #3b7600;">gamete</span></strong>	a haploid cell (e.g., sperm or egg) that fuses with another haploid cell during fertilization in organisms	<strong><span style="color: #007576;">phenotype</span></strong>	the <strong><span style="color: #003fff;">observable</span></strong> expression of DNA in an organism	<strong><span style="color: #b74300;">trait</span></strong>	each variant for a <strong><span style="color: #076dad;">character</span></strong>, such as purple or white color for flowers
MAT	<p>c07b_8f67</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #b74300;">trait</span></strong>	each variant for a <strong><span style="color: #076dad;">character</span></strong>, such as round or wrinkled seeds in flowers	<strong><span style="color: #007576;">phenotype</span></strong>	the <strong><span style="color: #003fff;">observable</span></strong> expression of DNA in an organism	<strong><span style="color: #935d00;">genotype</span></strong>	DNA composition affecting a certain <strong><span style="color: #007576;">phenotype</span></strong>	<strong><span style="color: #007a00;">heterozygous</span></strong>	presence of two different gene copies
MAT	<p>c07b_61cc</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">heterozygous</span></strong>	different <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> at one or more corresponding chromosomal loci	<strong><span style="color: #3b7600;">gamete</span></strong>	either a male sperm or female egg cell that forms a zygote upon fusion	<strong><span style="color: #00775f;">dominant</span></strong>	describes a <strong><span style="color: #b74300;">trait</span></strong> that masks the expression of another <strong><span style="color: #b74300;">trait</span></strong> when the <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> for both <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong> are present	<strong><span style="color: #935d00;">genotype</span></strong>	chemical makeup of DNA that factors into a particular <strong><span style="color: #007576;">phenotype</span></strong>
MAT	<p>c07b_4bf4</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #935d00;">genotype</span></strong>	DNA composition affecting a certain <strong><span style="color: #007576;">phenotype</span></strong>	<strong><span style="color: #a719db;">recessive</span></strong>	this <strong><span style="color: #6c6c00;">allele</span></strong> is hidden by another <strong><span style="color: #6c6c00;">allele</span></strong> when both <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> are present	<strong><span style="color: #00775f;">dominant</span></strong>	an <strong><span style="color: #6c6c00;">allele</span></strong> that masks another <strong><span style="color: #6c6c00;">allele</span></strong> in the presence of both <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong>	<strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong>	one version among multiple DNA sequences at a locus
MAT	<p>c07b_ce3d</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #a719db;">recessive</span></strong>	this <strong><span style="color: #6c6c00;">allele</span></strong> is hidden by another <strong><span style="color: #6c6c00;">allele</span></strong> when both <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> are present	<strong><span style="color: #00775f;">dominant</span></strong>	describes a <strong><span style="color: #b74300;">trait</span></strong> that masks the expression of another <strong><span style="color: #b74300;">trait</span></strong> when the <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> for both <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong> are present	<strong><span style="color: #3b7600;">gamete</span></strong>	a general term for either male (sperm) or female (egg) germ cells, which unite to form the zygote	<strong><span style="color: #007576;">phenotype</span></strong>	all the physical <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong> of an organism
MAT	<p>c07b_5ad9</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #a719db;">recessive</span></strong>	an <strong><span style="color: #6c6c00;">allele</span></strong> masked by another <strong><span style="color: #6c6c00;">allele</span></strong> in the presence of both <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong>	<strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong>	one version among multiple DNA sequences at a locus	<strong><span style="color: #007a00;">heterozygous</span></strong>	two different <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> for a gene	<strong><span style="color: #3b7600;">gamete</span></strong>	reproductive cells carrying only one copy of each chromosome in preparation for fertilization
MAT	<p>c07b_4554</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #c80085;">homozygous</span></strong>	two <strong><span style="color: #0067cc;">identical</span></strong> <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> of a given gene	<strong><span style="color: #076dad;">character</span></strong>	a single feature, such as hair color, noticeable in a particular organismal group	<strong><span style="color: #b74300;">trait</span></strong>	each variant for a <strong><span style="color: #076dad;">character</span></strong>, such as green or yellow color for seeds	<strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong>	one of two or more alternative forms of a gene at the same site in a chromosome
MAT	<p>c07b_753c</p> <p>Match each of the following Mendelian genetics terms with their corresponding definitions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #00775f;">dominant</span></strong>	describes a <strong><span style="color: #b74300;">trait</span></strong> that masks the expression of another <strong><span style="color: #b74300;">trait</span></strong> when the <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> for both <strong><span style="color: #b74300;"><strong><span style="color: #b74300;">trait</span></strong>s</span></strong> are present	<strong><span style="color: #3b7600;">gamete</span></strong>	haploid cells like sperm or egg that merge during fertilization	<strong><span style="color: #935d00;">genotype</span></strong>	chemical makeup of DNA that factors into a particular <strong><span style="color: #007576;">phenotype</span></strong>	<strong><span style="color: #a719db;">recessive</span></strong>	this <strong><span style="color: #6c6c00;">allele</span></strong> is hidden by another <strong><span style="color: #6c6c00;">allele</span></strong> when both <strong><span style="color: #6c6c00;"><strong><span style="color: #6c6c00;">allele</span></strong>s</span></strong> are present
