MAT	<p>b70a_0161</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	- A. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong></span>	1. <span style="font-family: sans-serif; letter-spacing: 1px;">carbohydrate polymer that used for <strong><span style="color: #AA693A;">structural</span></strong> purposes by <strong><span style="color: #5A8432;">plants</span></strong></span>	- B. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong></span>	2. <span style="font-family: sans-serif; letter-spacing: 1px;">glucose <strong><span style="color: #693AAA;">storage</span></strong> found in skeleton muscle and liver cells</span>	- C. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong></span>	3. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #AA693A;">structural</span></strong> material in arthropods and fungi</span>	- D. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong></span>	4. <span style="font-family: sans-serif; letter-spacing: 1px;">unbranched energy <strong><span style="color: #693AAA;">storage</span></strong> in <strong><span style="color: #5A8432;">plants</span></strong></span>	- E. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong></span>	5. <span style="font-family: sans-serif; letter-spacing: 1px;">moderately branched energy <strong><span style="color: #693AAA;">storage</span></strong> in <strong><span style="color: #5A8432;">plants</span></strong></span>
MAT	<p>b70a_3810</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	- A. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong></span>	1. <span style="font-family: sans-serif; letter-spacing: 1px;">highly branched glucose polymer found in <strong><span style="color: #5A8432;">plants</span></strong> that is readily digested by humans and other mammals</span>	- B. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong></span>	2. <span style="font-family: sans-serif; letter-spacing: 1px;">glucose <strong><span style="color: #693AAA;">storage</span></strong> found in skeleton muscle and liver cells</span>	- C. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong></span>	3. <span style="font-family: sans-serif; letter-spacing: 1px;">unbranched <strong><span style="color: #693AAA;">storage</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong></span>	- D. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong></span>	4. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #AA693A;">structural</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong></span>	- E. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong></span>	5. <span style="font-family: sans-serif; letter-spacing: 1px;">carbohydrate polymer that used for <strong><span style="color: #AA693A;">structural</span></strong> purposes by some <strong><span style="color: #843232;">animals</span></strong></span>
MAT	<p>b70a_3ea3</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	- A. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong></span>	1. <span style="font-family: sans-serif; letter-spacing: 1px;">polymer of &beta;-linked glucose units found in some <strong><span style="color: #843232;">animals</span></strong></span>	- B. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong></span>	2. <span style="font-family: sans-serif; letter-spacing: 1px;">also know as resistant starch, because it has no branches and it is resistant to digestion</span>	- C. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong></span>	3. <span style="font-family: sans-serif; letter-spacing: 1px;">highly branched polymer of &alpha;-linked glucose units found in <strong><span style="color: #843232;">animals</span></strong></span>	- D. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong></span>	4. <span style="font-family: sans-serif; letter-spacing: 1px;">highly branched glucose polymer found in <strong><span style="color: #5A8432;">plants</span></strong> that is readily digested by humans and other mammals</span>	- E. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong></span>	5. <span style="font-family: sans-serif; letter-spacing: 1px;">major <strong><span style="color: #AA693A;">structural</span></strong> component of <strong><span style="color: #b45918;">cell walls</span></strong></span>
MAT	<p>b70a_3ed4</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	- A. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong></span>	1. <span style="font-family: sans-serif; letter-spacing: 1px;">polymer of &beta;-linked glucose units found in some <strong><span style="color: #843232;">animals</span></strong></span>	- B. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong></span>	2. <span style="font-family: sans-serif; letter-spacing: 1px;">moderately branched energy <strong><span style="color: #693AAA;">storage</span></strong> in <strong><span style="color: #5A8432;">plants</span></strong></span>	- C. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong></span>	3. <span style="font-family: sans-serif; letter-spacing: 1px;">polymer of &beta;-linked glucose units found in <strong><span style="color: #5A8432;">plants</span></strong></span>	- D. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong></span>	4. <span style="font-family: sans-serif; letter-spacing: 1px;">highly branched energy <strong><span style="color: #693AAA;">storage</span></strong> in <strong><span style="color: #843232;">animals</span></strong></span>	- E. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong></span>	5. <span style="font-family: sans-serif; letter-spacing: 1px;">linear chain of glucose with &alpha;-glycosidic linkages and no branches</span>
MAT	<p>b70a_4541</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	- A. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong></span>	1. <span style="font-family: sans-serif; letter-spacing: 1px;">highly branched glucose polymer found in <strong><span style="color: #5A8432;">plants</span></strong> that is readily digested by humans and other mammals</span>	- B. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong></span>	2. <span style="font-family: sans-serif; letter-spacing: 1px;">linear chain of glucose with &alpha;-glycosidic linkages and no branches</span>	- C. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong></span>	3. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #AA693A;">structural</span></strong> material in arthropods and fungi</span>	- D. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong></span>	4. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #AA693A;">structural</span></strong> material in <strong><span style="color: #5A8432;">plant</span> </strong><strong><span style="color: #b45918;">cell walls</span></strong></span>	- E. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong></span>	5. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #843232;">animal</span> </strong>polysaccharide that contains &alpha;-glycosidic linkages</span>
MAT	<p>b70a_471b</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	- A. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong></span>	1. <span style="font-family: sans-serif; letter-spacing: 1px;">major <strong><span style="color: #AA693A;">structural</span></strong> component of arthopod (e.g., insects) exoskeletons</span>	- B. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong></span>	2. <span style="font-family: sans-serif; letter-spacing: 1px;">also know as resistant starch, because it has no branches and it is resistant to digestion</span>	- C. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong></span>	3. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #AA693A;">structural</span></strong> material in <strong><span style="color: #5A8432;">plant</span> </strong><strong><span style="color: #b45918;">cell walls</span></strong></span>	- D. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong></span>	4. <span style="font-family: sans-serif; letter-spacing: 1px;">branched <strong><span style="color: #693AAA;">storage</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong></span>	- E. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong></span>	5. <span style="font-family: sans-serif; letter-spacing: 1px;">glucose <strong><span style="color: #693AAA;">storage</span></strong> found in skeleton muscle and liver cells</span>
MAT	<p>b70a_4a80</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	- A. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong></span>	1. <span style="font-family: sans-serif; letter-spacing: 1px;">highly branched polymer of &alpha;-linked glucose units found in <strong><span style="color: #5A8432;">plants</span></strong></span>	- B. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong></span>	2. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #AA693A;">structural</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong></span>	- C. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong></span>	3. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #AA693A;">structural</span></strong> material in arthropods and fungi</span>	- D. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong></span>	4. <span style="font-family: sans-serif; letter-spacing: 1px;">highly branched energy <strong><span style="color: #693AAA;">storage</span></strong> in <strong><span style="color: #843232;">animals</span></strong></span>	- E. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong></span>	5. <span style="font-family: sans-serif; letter-spacing: 1px;">also know as resistant starch, because it has no branches and it is resistant to digestion</span>
MAT	<p>b70a_4abc</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	- A. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong></span>	1. <span style="font-family: sans-serif; letter-spacing: 1px;">major <strong><span style="color: #AA693A;">structural</span></strong> component of <strong><span style="color: #b45918;">cell walls</span></strong></span>	- B. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong></span>	2. <span style="font-family: sans-serif; letter-spacing: 1px;">polymer of &beta;-linked glucose units found in some <strong><span style="color: #843232;">animals</span></strong></span>	- C. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong></span>	3. <span style="font-family: sans-serif; letter-spacing: 1px;">unbranched energy <strong><span style="color: #693AAA;">storage</span></strong> in <strong><span style="color: #5A8432;">plants</span></strong></span>	- D. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong></span>	4. <span style="font-family: sans-serif; letter-spacing: 1px;">branched <strong><span style="color: #693AAA;">storage</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong></span>	- E. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong></span>	5. <span style="font-family: sans-serif; letter-spacing: 1px;">highly branched polymer of &alpha;-linked glucose units found in <strong><span style="color: #843232;">animals</span></strong></span>
MAT	<p>b70a_4dd2</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	- A. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong></span>	1. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #AA693A;">structural</span></strong> form of glucose in some <strong><span style="color: #843232;">animals</span></strong></span>	- B. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong></span>	2. <span style="font-family: sans-serif; letter-spacing: 1px;">linear chain of glucose with &alpha;-glycosidic linkages and no branches</span>	- C. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong></span>	3. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #5A8432;">plant</span> </strong>molecule composed of linear chains of &alpha;-(1,4) D-glucose residues connected through &alpha;-(1,6) linkages</span>	- D. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong></span>	4. <span style="font-family: sans-serif; letter-spacing: 1px;">carbohydrate polymer that used for <strong><span style="color: #AA693A;">structural</span></strong> purposes by <strong><span style="color: #5A8432;">plants</span></strong></span>	- E. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong></span>	5. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #843232;">animal</span> </strong>polysaccharide that contains &alpha;-glycosidic linkages</span>
MAT	<p>b70a_4f1c</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	- A. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong></span>	1. <span style="font-family: sans-serif; letter-spacing: 1px;">highly branched polymer of &alpha;-linked glucose units found in <strong><span style="color: #843232;">animals</span></strong></span>	- B. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong></span>	2. <span style="font-family: sans-serif; letter-spacing: 1px;">unbranched <strong><span style="color: #693AAA;">storage</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong></span>	- C. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong></span>	3. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #AA693A;">structural</span></strong> form of glucose in some <strong><span style="color: #843232;">animals</span></strong></span>	- D. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong></span>	4. <span style="font-family: sans-serif; letter-spacing: 1px;">moderately branched energy <strong><span style="color: #693AAA;">storage</span></strong> in <strong><span style="color: #5A8432;">plants</span></strong></span>	- E. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong></span>	5. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #5A8432;">plant</span> </strong>polysaccharide that contains &beta;-glycosidic linkages</span>
MAT	<p>b70a_59ef</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	- A. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong></span>	1. <span style="font-family: sans-serif; letter-spacing: 1px;">glucose <strong><span style="color: #693AAA;">storage</span></strong> found in skeleton muscle and liver cells</span>	- B. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong></span>	2. <span style="font-family: sans-serif; letter-spacing: 1px;">highly branched polymer of &alpha;-linked glucose units found in <strong><span style="color: #5A8432;">plants</span></strong></span>	- C. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong></span>	3. <span style="font-family: sans-serif; letter-spacing: 1px;">linear chain of glucose with &alpha;-glycosidic linkages and no branches</span>	- D. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong></span>	4. <span style="font-family: sans-serif; letter-spacing: 1px;">carbohydrate polymer that used for <strong><span style="color: #AA693A;">structural</span></strong> purposes by some <strong><span style="color: #843232;">animals</span></strong></span>	- E. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong></span>	5. <span style="font-family: sans-serif; letter-spacing: 1px;">carbohydrate polymer that used for <strong><span style="color: #AA693A;">structural</span></strong> purposes by <strong><span style="color: #5A8432;">plants</span></strong></span>
MAT	<p>b70a_5b95</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	- A. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong></span>	1. <span style="font-family: sans-serif; letter-spacing: 1px;">unbranched energy <strong><span style="color: #693AAA;">storage</span></strong> in <strong><span style="color: #5A8432;">plants</span></strong></span>	- B. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong></span>	2. <span style="font-family: sans-serif; letter-spacing: 1px;">branched <strong><span style="color: #693AAA;">storage</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong></span>	- C. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong></span>	3. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #AA693A;">structural</span></strong> material in arthropods and fungi</span>	- D. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong></span>	4. <span style="font-family: sans-serif; letter-spacing: 1px;">major <strong><span style="color: #AA693A;">structural</span></strong> component of <strong><span style="color: #b45918;">cell walls</span></strong></span>	- E. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong></span>	5. <span style="font-family: sans-serif; letter-spacing: 1px;">glucose <strong><span style="color: #693AAA;">storage</span></strong> found in skeleton muscle and liver cells</span>
MAT	<p>b70a_5e25</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	- A. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong></span>	1. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #AA693A;">structural</span></strong> material in <strong><span style="color: #5A8432;">plant</span> </strong><strong><span style="color: #b45918;">cell walls</span></strong></span>	- B. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong></span>	2. <span style="font-family: sans-serif; letter-spacing: 1px;">branched <strong><span style="color: #693AAA;">storage</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong></span>	- C. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong></span>	3. <span style="font-family: sans-serif; letter-spacing: 1px;">highly branched energy <strong><span style="color: #693AAA;">storage</span></strong> in <strong><span style="color: #843232;">animals</span></strong></span>	- D. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong></span>	4. <span style="font-family: sans-serif; letter-spacing: 1px;">linear chain of glucose with &alpha;-glycosidic linkages and no branches</span>	- E. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong></span>	5. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #843232;">animal</span> </strong>polysaccharide that contains &beta;-glycosidic linkages</span>
MAT	<p>b70a_6208</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	- A. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong></span>	1. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #5A8432;">plant</span> </strong>polysaccharide that contains &beta;-glycosidic linkages</span>	- B. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong></span>	2. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #843232;">animal</span> </strong>molecule composed of linear chains of &alpha;-(1,4) D-glucose residues connected through &alpha;-(1,6) linkages</span>	- C. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong></span>	3. <span style="font-family: sans-serif; letter-spacing: 1px;">highly branched glucose polymer found in <strong><span style="color: #5A8432;">plants</span></strong> that is readily digested by humans and other mammals</span>	- D. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong></span>	4. <span style="font-family: sans-serif; letter-spacing: 1px;">major <strong><span style="color: #AA693A;">structural</span></strong> component of arthopod (e.g., insects) exoskeletons</span>	- E. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong></span>	5. <span style="font-family: sans-serif; letter-spacing: 1px;">linear chain of glucose with &alpha;-glycosidic linkages and no branches</span>
MAT	<p>b70a_640e</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	- A. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong></span>	1. <span style="font-family: sans-serif; letter-spacing: 1px;">moderately branched energy <strong><span style="color: #693AAA;">storage</span></strong> in <strong><span style="color: #5A8432;">plants</span></strong></span>	- B. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong></span>	2. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #843232;">animal</span> </strong>polysaccharide that contains &beta;-glycosidic linkages</span>	- C. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong></span>	3. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #5A8432;">plant</span> </strong>polysaccharide that contains &beta;-glycosidic linkages</span>	- D. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong></span>	4. <span style="font-family: sans-serif; letter-spacing: 1px;">highly branched energy <strong><span style="color: #693AAA;">storage</span></strong> in <strong><span style="color: #843232;">animals</span></strong></span>	- E. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong></span>	5. <span style="font-family: sans-serif; letter-spacing: 1px;">linear chain of glucose with &alpha;-glycosidic linkages and no branches</span>
MAT	<p>b70a_6638</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	- A. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong></span>	1. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #843232;">animal</span> </strong>polysaccharide that contains &alpha;-glycosidic linkages</span>	- B. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong></span>	2. <span style="font-family: sans-serif; letter-spacing: 1px;">unbranched <strong><span style="color: #693AAA;">storage</span></strong> form of glucose in <strong><span style="color: #5A8432;">plants</span></strong></span>	- C. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong></span>	3. <span style="font-family: sans-serif; letter-spacing: 1px;">major <strong><span style="color: #AA693A;">structural</span></strong> component of arthopod (e.g., insects) exoskeletons</span>	- D. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong></span>	4. <span style="font-family: sans-serif; letter-spacing: 1px;">polymer of &beta;-linked glucose units found in <strong><span style="color: #5A8432;">plants</span></strong></span>	- E. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong></span>	5. <span style="font-family: sans-serif; letter-spacing: 1px;">highly branched polymer of &alpha;-linked glucose units found in <strong><span style="color: #5A8432;">plants</span></strong></span>
MAT	<p>b70a_6994</p> <p>Match each of the following polysaccharides with their corresponding descriptions.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	- A. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: SteelBlue;"><strong>amylose</strong></span></strong></span>	1. <span style="font-family: sans-serif; letter-spacing: 1px;">linear chain of glucose with &alpha;-glycosidic linkages and no branches</span>	- B. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkGreen;"><strong>glycogen</strong></span></strong></span>	2. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #843232;">animal</span> </strong>polysaccharide that contains &alpha;-glycosidic linkages</span>	- C. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: Indigo;"><strong>cellulose</strong></span></strong></span>	3. <span style="font-family: sans-serif; letter-spacing: 1px;">major <strong><span style="color: #AA693A;">structural</span></strong> component of <strong><span style="color: #b45918;">cell walls</span></strong></span>	- D. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: DarkRed;"><strong>amylopectin</strong></span></strong></span>	4. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: #5A8432;">plant</span> </strong>molecule composed of linear chains of &alpha;-(1,4) D-glucose residues connected through &alpha;-(1,6) linkages</span>	- E. <span style="font-family: sans-serif; letter-spacing: 1px;"><strong><span style="color: MediumVioletRed;"><strong>chitin</strong></span></strong></span>	5. <span style="font-family: sans-serif; letter-spacing: 1px;">polymer of &beta;-linked glucose units found in some <strong><span style="color: #843232;">animals</span></strong></span>
