MC	<p>cc37_5a3c</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	In general, an increase in disorder or randomness corresponds to an increase in <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect	Kinetics is only determined by the <strong><span style="color: #0078a3;"><strong><span style="color: #0078a3;">enthalpy</span></strong></span></strong> change of a <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong>.	Correct	Enzymes do<strong> <strong>NOT</strong> </strong>change the <strong><span style="color: #478d1b;">equilibrium</span></strong> constant (K&prime;<sub>eq</sub>) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Enzymes are<strong> <strong>NOT</strong> </strong>consumed by the <strong><span style="color: #008a75;">reaction</span></strong> they catalyze.	Incorrect	The first law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that energy is conserved and cannot be created or destroyed.	Incorrect
MC	<p>4b31_f98f</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong>?</p>	Hydrolysis <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong>s tend to decrease <strong><span style="color: #b77b04;"><strong><span style="color: #b77b04;">entropy</span></strong></span></strong> of the products.	Correct	The second law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that the total <strong><span style="color: #b77b04;">entropy</span></strong> of a closed system will always increase.	Incorrect	A <strong><span style="color: #008a75;">reaction</span></strong> is spontaneous if the standard change in free energy (&Delta;G&deg;&prime;) is negative.	Incorrect	Enzymes alter the <strong><span style="color: #008a75;">reaction</span></strong> <strong><span style="color: #56225d;">kinetics</span></strong> by lowering the activation energy.	Incorrect	Enzymes do<strong> <strong>NOT</strong> </strong>change the standard change in free energy (&Delta;G&deg;&prime;) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect
MC	<p>8f9f_c8d1</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Kinetics describes the rate at which a <strong><span style="color: #008a75;">reaction</span></strong> approaches <strong><span style="color: #478d1b;">equilibrium</span></strong>.	Incorrect	Dehydration <strong><span style="color: #008a75;">reaction</span></strong>s often lead to a decrease in the <strong><span style="color: #b77b04;">entropy</span></strong> of the products.	Incorrect	The <strong><span style="color: #478d1b;">equilibrium</span></strong> constant (K&prime;<sub>eq</sub>) is related to the standard change in free energy (&Delta;G&deg;&prime;) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	The second law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that the total <strong><span style="color: #b77b04;">entropy</span></strong> of a closed system will always increase.	Incorrect	Enzymes are consumed by the <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong> they catalyze and must continually be replaced.	Correct
MC	<p>cc37_0af1</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Dehydration <strong><span style="color: #008a75;">reaction</span></strong>s often lead to a decrease in the <strong><span style="color: #b77b04;">entropy</span></strong> of the products.	Incorrect	Thermodynamics is determined by the combination of <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Enzymes change the rate of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	The first law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that energy is conserved and cannot be created or destroyed.	Incorrect	A <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong> can proceed spontaneously even if the standard Gibbs free energy change (&Delta;G&deg;&prime;) is positive.	Correct
MC	<p>2f06_f58e</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Thermodynamics is determined by the combination of <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	The <strong><span style="color: #478d1b;"><strong><span style="color: #478d1b;">equilibrium</span></strong></span></strong> constant (K&prime;<sub>eq</sub>) of a <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong> is related to the activation energy.	Correct	Kinetics describes the rate at which a <strong><span style="color: #008a75;">reaction</span></strong> approaches <strong><span style="color: #478d1b;">equilibrium</span></strong>.	Incorrect	In general, an increase in disorder or randomness corresponds to an increase in <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect	Enzymes do<strong> <strong>NOT</strong> </strong>change the standard change in free energy (&Delta;G&deg;&prime;) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect
MC	<p>d96a_1bfa</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Thermodynamics determines the direction a <strong><span style="color: #008a75;">reaction</span></strong> will proceed under specific conditions.	Incorrect	Enzymes change the standard Gibbs free energy change (&Delta;G&deg;&prime;) of a <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong>.	Correct	Equilibrium is reached when the rate of the forward and reverse <strong><span style="color: #008a75;">reaction</span></strong>s is equal.	Incorrect	Thermodynamics is determined by the combination of <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	In general, an increase in disorder or randomness corresponds to an increase in <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect
MC	<p>723c_bc9e</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong>?</p>	Kinetics depends only on the ratio of product and substrates.	Incorrect	Enzymes change the Gibbs free energy (&Delta;G) of the <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Enzymes change the <strong><span style="color: #478d1b;">equilibrium</span></strong> point.	Incorrect	Dehydration <strong><span style="color: #008a75;">reaction</span></strong>s tend to increase <strong><span style="color: #b77b04;">entropy</span></strong> of the products.	Incorrect	Equilibrium is reached when the rate of the forward and reverse <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong>s is equal.	Correct
MC	<p>1449_2567</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong>?</p>	Kinetics tells us the <strong><span style="color: #478d1b;"><strong><span style="color: #478d1b;">equilibrium</span></strong></span></strong> point.	Correct	In general, an increase in disorder or randomness corresponds to an increase in <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect	The first law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that energy is conserved and cannot be created or destroyed.	Incorrect	Enzymes do<strong> <strong>NOT</strong> </strong>change the <strong><span style="color: #478d1b;">equilibrium</span></strong> constant (K&prime;<sub>eq</sub>) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Thermodynamics determines the direction a <strong><span style="color: #008a75;">reaction</span></strong> will proceed under specific conditions.	Incorrect
MC	<p>1449_ce08</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong>?</p>	The second law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that the total <strong><span style="color: #b77b04;">entropy</span></strong> of a closed system will always increase.	Incorrect	In general, more order means more <strong><span style="color: #b77b04;"><strong><span style="color: #b77b04;">entropy</span></strong></span></strong>.	Correct	Thermodynamics describes the <strong><span style="color: #478d1b;">equilibrium</span></strong> point of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Enzymes are<strong> <strong>NOT</strong> </strong>consumed by the <strong><span style="color: #008a75;">reaction</span></strong> they catalyze.	Incorrect	Thermodynamics is determined by the combination of <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect
MC	<p>999f_aec4</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	In general, more order means more <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect	Enzymes change the Gibbs free energy (&Delta;G) of the <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Equilibrium is reached when the rate of the forward and reverse <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong>s is equal.	Correct	The first law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that the total <strong><span style="color: #b77b04;">entropy</span></strong> of a closed system will always increase.	Incorrect	The rate of a <strong><span style="color: #008a75;">reaction</span></strong> is independent of temperature.	Incorrect
MC	<p>8cc4_39d4</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Enzymes change the Gibbs free energy (&Delta;G) of the <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Thermodynamics determines the rate of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	A <strong><span style="color: #008a75;">reaction</span></strong> can proceed spontaneously even if the standard Gibbs free energy change (&Delta;G&deg;&prime;) is positive.	Incorrect	Kinetics is unaffected by <strong><span style="color: #cc2489;">enzymes</span></strong>.	Incorrect	Dehydration <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong>s often lead to a decrease in the <strong><span style="color: #b77b04;"><strong><span style="color: #b77b04;">entropy</span></strong></span></strong> of the products.	Correct
MC	<p>999f_b94a</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Kinetics tells us the <strong><span style="color: #478d1b;">equilibrium</span></strong> point.	Incorrect	Enzymes change the <strong><span style="color: #478d1b;">equilibrium</span></strong> constant (K&prime;<sub>eq</sub>) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Kinetics determines the direction of the <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	In general, an increase in disorder or randomness corresponds to an increase in <strong><span style="color: #b77b04;"><strong><span style="color: #b77b04;">entropy</span></strong></span></strong>.	Correct	Kinetics is unaffected by <strong><span style="color: #cc2489;">enzymes</span></strong>.	Incorrect
MC	<p>1449_ab29</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong>?</p>	Enzymes are<strong> <strong>NOT</strong> </strong>essential for most biochemical <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong>s.	Correct	Equilibrium is reached when the rate of the forward and reverse <strong><span style="color: #008a75;">reaction</span></strong>s is equal.	Incorrect	The <strong><span style="color: #478d1b;">equilibrium</span></strong> constant (K&prime;<sub>eq</sub>) is related to the standard change in free energy (&Delta;G&deg;&prime;) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	The first law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that energy is conserved and cannot be created or destroyed.	Incorrect	In general, an increase in disorder or randomness corresponds to an increase in <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect
MC	<p>3fab_67fb</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Hydrolysis <strong><span style="color: #008a75;">reaction</span></strong>s often lead to an increase in the <strong><span style="color: #b77b04;">entropy</span></strong> of the products.	Incorrect	Thermodynamics is determined by the combination of <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	The second law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that the total <strong><span style="color: #b77b04;">entropy</span></strong> of a closed system will always increase.	Incorrect	The <strong><span style="color: #478d1b;"><strong><span style="color: #478d1b;">equilibrium</span></strong></span></strong> constant (K&prime;<sub>eq</sub>) of a <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong> is related to the activation energy.	Correct	Kinetics describes the rate at which a <strong><span style="color: #008a75;">reaction</span></strong> approaches <strong><span style="color: #478d1b;">equilibrium</span></strong>.	Incorrect
MC	<p>95e3_ef1e</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Hydrolysis <strong><span style="color: #008a75;">reaction</span></strong>s often lead to an increase in the <strong><span style="color: #b77b04;">entropy</span></strong> of the products.	Incorrect	The first law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that energy is conserved and cannot be created or destroyed.	Incorrect	Enzymes do<strong> <strong>NOT</strong> </strong>change the <strong><span style="color: #478d1b;">equilibrium</span></strong> constant (K&prime;<sub>eq</sub>) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Enzymes change the <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong> <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong>.	Correct	A <strong><span style="color: #008a75;">reaction</span></strong> is spontaneous if the standard change in free energy (&Delta;G&deg;&prime;) is negative.	Incorrect
MC	<p>cc37_03a5</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Enzymes do<strong> <strong>NOT</strong> </strong>change the overall change in free energy (&Delta;G) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	In general, an increase in disorder or randomness corresponds to an increase in <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect	Thermodynamics describes the <strong><span style="color: #478d1b;">equilibrium</span></strong> point of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	The second law of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong> is the conservation of energy.	Correct	The change in Gibbs free energy (&Delta;G) of a <strong><span style="color: #008a75;">reaction</span></strong> is related to the <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> changes of the <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect
MC	<p>cc37_a1d4</p> <p>Which one of the following statements is<strong> <span style="color: #ba372a;"><strong>FALSE</strong></span> </strong> regarding <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Enzymes change the rate of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Enzymes do<strong> <strong>NOT</strong> </strong>change the overall change in free energy (&Delta;G) of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	The first law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that energy is conserved and cannot be created or destroyed.	Incorrect	In general, more order means more <strong><span style="color: #b77b04;"><strong><span style="color: #b77b04;">entropy</span></strong></span></strong>.	Correct	Thermodynamics is determined by the combination of <strong><span style="color: #0078a3;">enthalpy</span></strong> and <strong><span style="color: #b77b04;">entropy</span></strong> of a <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect
MC	<p>7a3d_5d66</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong>?</p>	The second law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> states that the <strong><span style="color: #b77b04;">entropy</span></strong> of a closed system always decreases.	Incorrect	Equilibrium is reached when the rate of the forward and reverse <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong>s is equal.	Correct	Kinetics depends only on the concentration of reactants.	Incorrect	In general, more order means more <strong><span style="color: #b77b04;">entropy</span></strong>.	Incorrect	Enzymes change the <strong><span style="color: #008a75;">reaction</span></strong> <strong><span style="color: #bb5d00;">thermodynamics</span></strong>.	Incorrect
MC	<p>9548_863e</p> <p>Which one of the following statements is<strong> <span style="color: #127663;"><strong>TRUE</strong></span> </strong> of <strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;"><strong><span style="color: #bb5d00;">thermodynamics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong> and <strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;"><strong><span style="color: #56225d;">kinetics</span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong></span></strong>?</p>	Kinetics determines the direction of the <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	The second law of <strong><span style="color: #bb5d00;">thermodynamics</span></strong> is the conservation of energy.	Incorrect	Dehydration <strong><span style="color: #008a75;">reaction</span></strong>s tend to increase <strong><span style="color: #b77b04;">entropy</span></strong> of the products.	Incorrect	Enzymes change the Gibbs free energy (&Delta;G) of the <strong><span style="color: #008a75;">reaction</span></strong>.	Incorrect	Enzymes are<strong> <strong>NOT</strong> </strong>consumed by the <strong><span style="color: #008a75;"><strong><span style="color: #008a75;">reaction</span></strong></span></strong> they catalyze.	Correct
